year,week,total_number_of_tests,positivity_rate_percent,source_file
None,46,1304,9.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,25,323,0.9,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,384,2.1,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,670,4.2,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,512,2.3,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,393,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,256,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,305,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,285,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,273,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,350,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,401,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,607,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,520,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,513,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,439,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,445,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,698,22.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,1356,27.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,2082,31.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,2894,28.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,2044,35.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,1431,26.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,1021,25.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,1067,21.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,882,15.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,1123,12.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,1552,15.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,1233,19.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,1136,21.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,1230,17.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,1112,16.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,1443,14.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,1849,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,1303,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,1438,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,1052,8.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,1012,8.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,1065,5.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,1313,5.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,1708,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,2064,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,1307,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,1152,8.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,1094,9.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,1077,5.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,1163,9.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,1297,9.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,1173,7.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,1173,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,1018,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,934,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,868,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,633,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,515,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,688,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,548,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,405,11.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,446,15.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,599,12.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,1086,16.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,1057,12.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,1249,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,1245,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,1039,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,823,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,779,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,866,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,684,4.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,683,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,610,7.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,702,4.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,45,938,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,47,2062,17.0,BAG_COVID-19_Woechentliche_Lage.pdf
