year,week,total_number_of_tests,positivity_rate_percent,source_file
None,46,15574,13.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,25,1988,0.2,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,2923,0.6,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,4295,1.0,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,2699,1.7,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,2042,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,1555,3.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,1608,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1861,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,2238,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,2973,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,3726,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,4235,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,4615,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,3809,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,3464,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,3152,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,4027,11.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,6164,16.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,8914,23.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,11109,26.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,10041,27.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,8466,26.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,8425,25.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,8962,23.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,9651,24.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,11166,23.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,12287,20.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,7267,25.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,8778,20.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,6998,15.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,7459,14.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,8727,10.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,7723,8.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,8014,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,7221,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,6841,5.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,7555,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,8640,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,9849,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,10405,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,9761,6.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,10236,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,8122,6.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,6855,7.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,7239,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,7280,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,8891,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,7391,3.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,7429,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,6471,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,5612,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,4640,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,3990,0.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,8494,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,7716,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,7101,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,5594,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,4834,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,6280,9.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,7006,8.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,8666,6.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,11045,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,11471,4.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,12162,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,10473,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,11262,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,9547,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,7232,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,7506,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,8735,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,9299,9.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,45,12743,9.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,47,18324,14.9,BAG_COVID-19_Woechentliche_Lage.pdf
