year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,141,0.0,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,206,0.5,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,193,0.0,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,150,2.0,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,128,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,93,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,86,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,91,5.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,143,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,235,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,334,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,301,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,257,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,258,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,258,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,192,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,217,9.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,396,17.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,520,17.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,678,23.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,553,24.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,527,23.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,405,20.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,480,19.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,535,20.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,1079,17.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,1347,11.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,630,22.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,801,25.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,901,12.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,906,11.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,1034,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,678,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,585,7.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,572,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,582,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,643,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,703,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,769,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,790,4.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,835,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,683,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,682,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,771,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,835,4.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,667,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,850,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,708,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,825,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,725,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,620,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,563,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,843,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
