year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1441,1.9,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,2006,2.1,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,2121,1.5,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1339,1.4,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1267,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,1098,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,1232,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1262,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1229,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1774,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2829,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,3058,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,3090,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,2636,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,2175,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,2340,6.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,3542,16.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,6715,28.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,10687,38.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,11596,44.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,10177,38.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,7352,32.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,5176,28.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,4644,22.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,4346,19.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,4602,17.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,6030,10.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,6163,14.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,6642,15.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,5930,15.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,6122,14.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,6315,11.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,8194,8.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,8828,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,8971,4.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,8951,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,6771,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,7141,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,8904,7.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,9205,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,11122,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,8458,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,8638,6.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,8710,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,7817,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,7401,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,7269,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,6100,1.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,6595,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,4798,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,7800,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,6740,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,5577,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,5414,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,5271,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,5510,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,5440,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,5298,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,4535,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,5065,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,6268,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,7562,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,7945,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,8949,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,8171,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,9208,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,10977,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
