year,week,total_number_of_tests,positivity_rate_percent,source_file
None,46,4931,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,25,646,0.6,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,660,1.1,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,987,1.5,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,847,1.8,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,770,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,825,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,603,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,526,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,558,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,685,3.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,882,1.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,1154,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,1153,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,1065,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,883,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,1144,4.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,1582,11.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,2081,13.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,2784,16.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,2712,16.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,2496,17.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,2160,17.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,2263,18.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,2273,15.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,2367,15.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,2599,13.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,3890,11.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,2104,17.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,2463,16.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,2132,11.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,2321,10.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,2338,8.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,3029,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,2614,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,2144,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,3533,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,7668,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,7785,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,8497,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,6692,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,4855,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,4517,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,4266,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,3366,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,3087,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,3279,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,3586,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,2971,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,3705,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,3216,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,3411,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,3454,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,4807,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,4919,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,4847,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,4441,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,3678,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,3413,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,3193,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,3772,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,3989,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,4455,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,4660,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,5295,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,5576,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,6494,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,5281,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,3365,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,3302,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,3738,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,3522,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,45,4278,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
